10:04:39 Hybrid tokenizer, passthrough_prob=0.5
10:04:40 Model: 20.64M params, train=184, val=10
10:53:24 step=14900 loss=0.03008 lr=2.00e-03 mode=all-discrete t=2924s
10:53:44 step=15000 loss=0.03328 lr=2.00e-03 mode=all-discrete t=2944s
10:54:03 step=15100 loss=0.02850 lr=2.00e-03 mode=passthrough t=2963s
10:54:23 step=15200 loss=0.03306 lr=2.00e-03 mode=passthrough t=2983s
10:54:41 VAL step=15288 epoch=167 val=0.03693
10:54:41   New best: 0.03693
10:54:43 step=15300 loss=0.03088 lr=2.00e-03 mode=all-discrete t=3004s
10:55:03 step=15400 loss=0.03445 lr=2.00e-03 mode=passthrough t=3023s
10:55:23 step=15500 loss=0.03322 lr=2.00e-03 mode=all-discrete t=3043s
10:55:42 step=15600 loss=0.02955 lr=2.00e-03 mode=passthrough t=3062s
10:56:02 step=15700 loss=0.03089 lr=2.00e-03 mode=all-discrete t=3082s
10:56:21 step=15800 loss=0.02838 lr=2.00e-03 mode=passthrough t=3102s
10:56:41 step=15900 loss=0.03086 lr=2.00e-03 mode=passthrough t=3121s
10:57:01 step=16000 loss=0.02995 lr=2.00e-03 mode=passthrough t=3141s
10:57:20 step=16100 loss=0.03081 lr=2.00e-03 mode=all-discrete t=3160s
10:57:40 step=16200 loss=0.02748 lr=2.00e-03 mode=all-discrete t=3180s
10:58:00 step=16300 loss=0.02756 lr=2.00e-03 mode=passthrough t=3200s
10:58:19 step=16400 loss=0.03255 lr=2.00e-03 mode=all-discrete t=3219s
10:58:39 step=16500 loss=0.03353 lr=2.00e-03 mode=passthrough t=3239s
10:58:58 step=16600 loss=0.03034 lr=2.00e-03 mode=passthrough t=3259s
10:59:18 step=16700 loss=0.02684 lr=2.00e-03 mode=passthrough t=3278s
10:59:38 step=16800 loss=0.03072 lr=2.00e-03 mode=passthrough t=3298s
10:59:57 step=16900 loss=0.02871 lr=2.00e-03 mode=passthrough t=3317s
11:00:17 step=17000 loss=0.02893 lr=2.00e-03 mode=passthrough t=3337s
11:00:36 step=17100 loss=0.02616 lr=2.00e-03 mode=all-discrete t=3357s
11:00:56 step=17200 loss=0.02891 lr=2.00e-03 mode=passthrough t=3376s
11:01:16 step=17300 loss=0.02682 lr=2.00e-03 mode=passthrough t=3396s
11:01:35 step=17400 loss=0.03005 lr=2.00e-03 mode=passthrough t=3416s
11:01:55 step=17500 loss=0.02815 lr=2.00e-03 mode=passthrough t=3435s
11:02:15 step=17600 loss=0.02853 lr=2.00e-03 mode=all-discrete t=3455s
11:02:34 step=17700 loss=0.03302 lr=2.00e-03 mode=all-discrete t=3474s
11:02:54 step=17800 loss=0.02936 lr=2.00e-03 mode=all-discrete t=3494s
11:03:13 step=17900 loss=0.02967 lr=2.00e-03 mode=all-discrete t=3514s
11:03:33 step=18000 loss=0.02797 lr=2.00e-03 mode=passthrough t=3533s
11:03:53 step=18100 loss=0.03126 lr=2.00e-03 mode=all-discrete t=3553s
11:04:12 step=18200 loss=0.02729 lr=2.00e-03 mode=passthrough t=3572s
11:04:32 step=18300 loss=0.02771 lr=2.00e-03 mode=all-discrete t=3592s
11:04:41 VAL step=18343 epoch=200 val=0.03710
11:04:52 step=18400 loss=0.03180 lr=2.00e-03 mode=passthrough t=3612s
11:05:12 step=18500 loss=0.02843 lr=2.00e-03 mode=passthrough t=3632s
11:05:31 step=18600 loss=0.03005 lr=2.00e-03 mode=all-discrete t=3651s
11:05:51 step=18700 loss=0.02992 lr=2.00e-03 mode=all-discrete t=3671s
11:06:10 step=18800 loss=0.03090 lr=2.00e-03 mode=all-discrete t=3691s
11:06:30 step=18900 loss=0.02816 lr=2.00e-03 mode=all-discrete t=3710s
11:06:50 step=19000 loss=0.02667 lr=2.00e-03 mode=passthrough t=3730s
11:07:09 step=19100 loss=0.03159 lr=2.00e-03 mode=all-discrete t=3749s
11:07:29 step=19200 loss=0.03264 lr=2.00e-03 mode=all-discrete t=3769s
11:07:48 step=19300 loss=0.03042 lr=2.00e-03 mode=all-discrete t=3789s
11:08:08 step=19400 loss=0.03028 lr=2.00e-03 mode=passthrough t=3808s
11:08:28 step=19500 loss=0.03268 lr=2.00e-03 mode=all-discrete t=3828s
11:08:47 step=19600 loss=0.03212 lr=2.00e-03 mode=all-discrete t=3848s
11:09:07 step=19700 loss=0.03085 lr=2.00e-03 mode=all-discrete t=3867s
11:09:27 step=19800 loss=0.02899 lr=2.00e-03 mode=passthrough t=3887s
11:09:46 step=19900 loss=0.02910 lr=2.00e-03 mode=passthrough t=3906s
11:10:06 step=20000 loss=0.03114 lr=2.00e-03 mode=all-discrete t=3926s
11:10:25 step=20100 loss=0.02764 lr=2.00e-03 mode=all-discrete t=3945s
11:10:45 step=20200 loss=0.02579 lr=2.00e-03 mode=passthrough t=3965s
11:11:05 step=20300 loss=0.03237 lr=2.00e-03 mode=all-discrete t=3985s
11:11:24 step=20400 loss=0.02752 lr=2.00e-03 mode=all-discrete t=4004s
11:11:44 step=20500 loss=0.02763 lr=2.00e-03 mode=passthrough t=4024s
11:12:03 step=20600 loss=0.02986 lr=2.00e-03 mode=passthrough t=4043s
11:12:23 step=20700 loss=0.02765 lr=2.00e-03 mode=passthrough t=4063s
11:12:43 step=20800 loss=0.02776 lr=2.00e-03 mode=all-discrete t=4083s
